,states,actions,rewards1,rewards2,rewards3,rewards,nextStates,dones
1564,"[0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.27777777777777773, 0.5, 0.0, 0.0, 0.25, 0.0, 1.0, 0.0, 0.7083333333333334, 0.5]",0.0,4.0,13.5,11.5,10.531652549766878,"[0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.4351851851851852, 0.5]",0.0
1565,"[0.0, 0.0, 0.5185185185185185, 0.5, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0,4.0,15.5,14.0,8.142951342982705,"[0.0, 0.0, 0.3611111111111111, 0.0, 1.0, 0.0, 0.6851851851851851, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1566,"[0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.4351851851851852, 0.5]",2.0,6.0,13.0,11.0,8.683813957093905,"[1.0, 0.0, 0.5925925925925924, 0.5, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1567,"[0.0, 0.0, 0.4444444444444444, 0.0, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 1.0, 0.0, 0.6944444444444444, 0.5]",0.0,16.0,29.0,16.5,0.3064923437148443,"[1.0, 0.0, 0.9629629629629631, 0.5, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 0.0, 0.0, 0.3472222222222222, 0.5]",0.0
1568,"[1.0, 0.0, 0.5925925925925924, 0.5, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",1.0,5.0,11.5,9.5,11.977160363027336,"[0.0, 0.0, 0.2777777777777778, 0.5, 0.0, 0.0, 0.2222222222222222, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1569,"[0.0, 0.0, 0.3611111111111111, 0.0, 1.0, 0.0, 0.6851851851851851, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0,13.5,24.0,14.5,0.8041733780559602,"[1.0, 0.0, 0.8240740740740741, 0.5, 0.0, 0.0, 0.45370370370370366, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1570,"[1.0, 0.0, 0.9629629629629631, 0.5, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 0.0, 0.0, 0.3472222222222222, 0.5]",2.0,6.0,15.0,13.5,6.71422402039792,"[1.0, 0.0, 0.4444444444444444, 1.0, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0]",0.0
1571,"[1.0, 0.0, 0.8240740740740741, 0.5, 0.0, 0.0, 0.45370370370370366, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",3.0,7.5,14.5,13.0,5.903893108287374,"[1.0, 0.0, 0.3611111111111111, 1.0, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1572,"[0.0, 0.0, 0.2777777777777778, 0.5, 0.0, 0.0, 0.2222222222222222, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0,4.0,13.5,12.0,10.531652549766878,"[0.0, 0.0, 0.2777777777777778, 0.0, 1.0, 0.0, 0.4444444444444444, 0.5, 0.0, 0.0, 0.25, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1573,"[1.0, 0.0, 0.4444444444444444, 1.0, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0]",1.0,5.0,13.0,11.0,9.875699168323866,"[1.0, 0.0, 0.9907407407407409, 0.5, 0.0, 0.0, 0.2638888888888889, 0.0, 1.0, 0.0, 0.7083333333333334, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",0.0
1574,"[0.0, 0.0, 0.2777777777777778, 0.0, 1.0, 0.0, 0.4444444444444444, 0.5, 0.0, 0.0, 0.25, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0,11.5,23.0,12.0,1.1828283263603059,"[1.0, 0.0, 0.6018518518518516, 0.5, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1575,"[1.0, 0.0, 0.3611111111111111, 1.0, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",1.0,5.0,13.0,11.0,9.875699168323866,"[0.0, 0.0, 0.6944444444444444, 0.5, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0, 1.0, 0.0, 0.6388888888888888, 0.5]",0.0
1576,"[1.0, 0.0, 0.6018518518518516, 0.5, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",1.0,5.0,11.5,10.0,11.977160363027336,"[1.0, 0.0, 0.2916666666666667, 1.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1577,"[1.0, 0.0, 0.9907407407407409, 0.5, 0.0, 0.0, 0.2638888888888889, 0.0, 1.0, 0.0, 0.7083333333333334, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",3.0,7.5,15.0,13.5,5.536175066910767,"[0.0, 0.0, 0.7129629629629629, 0.5, 1.0, 0.0, 0.5555555555555556, 0.5, 0.0, 0.0, 0.4166666666666667, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",0.0
1578,"[0.0, 0.0, 0.7129629629629629, 0.5, 1.0, 0.0, 0.5555555555555556, 0.5, 0.0, 0.0, 0.4166666666666667, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",0.0,4.0,18.0,16.5,5.903893108287374,"[0.0, 0.0, 0.4583333333333333, 0.0, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 1.0, 0.0, 0.6944444444444444, 0.5]",0.0
1579,"[0.0, 0.0, 0.6944444444444444, 0.5, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0, 1.0, 0.0, 0.6388888888888888, 0.5]",0.0,4.0,17.0,14.5,6.71422402039792,"[0.0, 0.0, 0.375, 0.5, 1.0, 0.0, 0.5277777777777778, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.5]",0.0
1580,"[1.0, 0.0, 0.2916666666666667, 1.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",1.0,8.0,19.5,10.0,2.910201815589032,"[1.0, 0.0, 0.5833333333333334, 0.5, 1.0, 0.0, 0.4722222222222222, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1581,"[0.0, 0.0, 0.375, 0.5, 1.0, 0.0, 0.5277777777777778, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.5]",0.0,15.0,25.5,14.5,0.5467359950398596,"[1.0, 0.0, 0.9027777777777778, 0.5, 0.0, 0.0, 0.2685185185185185, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1582,"[1.0, 0.0, 0.5833333333333334, 0.5, 1.0, 0.0, 0.4722222222222222, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",2.0,6.0,12.5,11.0,9.26060118318198,"[0.0, 0.0, 0.2916666666666667, 0.5, 1.0, 0.0, 0.6898148148148148, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1583,"[0.0, 0.0, 0.4583333333333333, 0.0, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 1.0, 0.0, 0.6944444444444444, 0.5]",0.0,16.0,31.5,16.5,0.2222164863308771,"[1.0, 0.0, 1.115740740740741, 0.5, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 0.0, 0.0, 0.4351851851851852, 0.5]",0.0
1584,"[1.0, 0.0, 0.9027777777777778, 0.5, 0.0, 0.0, 0.2685185185185185, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",1.0,5.0,13.0,11.0,9.875699168323866,"[1.0, 0.0, 0.375, 1.0, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1585,"[1.0, 0.0, 1.115740740740741, 0.5, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 0.0, 0.0, 0.4351851851851852, 0.5]",2.0,6.0,15.0,14.0,6.71422402039792,"[1.0, 0.0, 0.4583333333333333, 1.0, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0]",0.0
1586,"[0.0, 0.0, 0.2916666666666667, 0.5, 1.0, 0.0, 0.6898148148148148, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0,4.0,14.0,12.0,9.875699168323866,"[0.0, 0.0, 0.2916666666666667, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1587,"[1.0, 0.0, 0.375, 1.0, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",1.0,9.5,19.0,11.0,2.5589733661825633,"[1.0, 0.0, 0.7731481481481483, 0.5, 1.0, 0.0, 0.5277777777777778, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1588,"[1.0, 0.0, 0.4583333333333333, 1.0, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0, 0.0, 0.0, 0.3472222222222222, 0.0]",1.0,5.0,13.0,11.0,9.875699168323866,"[1.0, 0.0, 1.0972222222222223, 0.5, 0.0, 0.0, 0.2777777777777778, 0.0, 1.0, 0.0, 0.7361111111111112, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",0.0
1589,"[1.0, 0.0, 0.7731481481481483, 0.5, 1.0, 0.0, 0.5277777777777778, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",2.0,6.0,12.0,11.0,9.875699168323866,"[0.0, 0.0, 0.375, 0.5, 1.0, 0.0, 0.7175925925925927, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1590,"[1.0, 0.0, 1.0972222222222223, 0.5, 0.0, 0.0, 0.2777777777777778, 0.0, 1.0, 0.0, 0.7361111111111112, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",3.0,7.5,15.0,13.5,5.536175066910767,"[0.0, 0.0, 0.6944444444444444, 0.5, 0.0, 0.0, 0.5555555555555556, 0.5, 0.0, 0.0, 0.3611111111111111, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",0.0
1591,"[0.0, 0.0, 0.2916666666666667, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0,4.0,13.5,12.0,10.531652549766878,"[1.0, 0.0, 0.837962962962963, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1592,"[0.0, 0.0, 0.375, 0.5, 1.0, 0.0, 0.7175925925925927, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0,4.0,16.0,15.0,7.635775812541028,"[0.0, 0.0, 0.375, 0.0, 0.0, 0.0, 0.34259259259259256, 0.5, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1593,"[0.0, 0.0, 0.6944444444444444, 0.5, 0.0, 0.0, 0.5555555555555556, 0.5, 0.0, 0.0, 0.3611111111111111, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",0.0,4.0,18.0,16.5,5.903893108287374,"[1.0, 0.0, 1.152777777777778, 0.5, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.3611111111111111, 0.0, 0.0, 0.0, 0.4722222222222222, 0.5]",0.0
1594,"[1.0, 0.0, 0.837962962962963, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",1.0,5.0,12.0,10.0,11.23117498199737,"[1.0, 0.0, 0.5833333333333334, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1595,"[0.0, 0.0, 0.375, 0.0, 0.0, 0.0, 0.34259259259259256, 0.5, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.3194444444444444, 0.0]",1.0,5.0,13.0,11.0,9.875699168323866,"[1.0, 0.0, 0.8935185185185186, 0.5, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.25, 0.5, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
